,Unnamed: 0,semantic,correct_relationships,model,CF,dataset
0,0,1.0,1.0,forest,FeatureTweak,credit
1,1,0.0,1.0,forest,FeatureTweak,credit
2,2,1.0,1.0,forest,FeatureTweak,credit
3,3,1.0,0.0,forest,FeatureTweak,credit
4,4,0.0,0.0,forest,FeatureTweak,credit
5,5,0.0,1.0,forest,FeatureTweak,credit
6,6,0.0,1.0,forest,FeatureTweak,credit
7,7,1.0,0.0,forest,FeatureTweak,credit
8,8,1.0,0.0,forest,FeatureTweak,credit
9,9,0.0,1.0,forest,FeatureTweak,credit
10,10,0.0,0.0,forest,FeatureTweak,credit
11,11,0.0,0.0,forest,FeatureTweak,credit
12,12,0.0,0.0,forest,FeatureTweak,credit
13,13,1.0,1.0,forest,FeatureTweak,credit
14,14,0.0,0.0,forest,FeatureTweak,credit
15,15,1.0,0.0,forest,FeatureTweak,credit
16,16,0.0,0.8571428571428571,forest,FeatureTweak,credit
17,17,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
18,18,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
19,19,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
20,20,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
21,21,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
22,22,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
23,23,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
24,24,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
25,25,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
26,26,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
27,27,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
28,28,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
29,29,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
30,30,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
31,31,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
32,32,0.8571428571428571,0.8571428571428571,forest,FeatureTweak,credit
0,0,0.0,0.0,linear,actionable_recourse,credit
1,1,0.0,0.0,linear,actionable_recourse,credit
2,2,0.0,0.0,linear,actionable_recourse,credit
3,3,0.0,0.0,linear,actionable_recourse,credit
4,4,0.0,0.0,linear,actionable_recourse,credit
5,5,0.0,0.0,linear,actionable_recourse,credit
6,6,0.0,0.0,linear,actionable_recourse,credit
7,7,0.0,0.0,linear,actionable_recourse,credit
8,8,0.0,0.0,linear,actionable_recourse,credit
9,9,0.0,0.0,linear,actionable_recourse,credit
10,10,0.0,0.0,linear,actionable_recourse,credit
11,11,0.0,0.0,linear,actionable_recourse,credit
12,12,0.0,0.0,linear,actionable_recourse,credit
13,13,0.0,0.0,linear,actionable_recourse,credit
14,14,0.0,0.0,linear,actionable_recourse,credit
15,15,0.0,0.0,linear,actionable_recourse,credit
16,16,0.0,0.0,linear,actionable_recourse,credit
17,17,0.0,0.0,linear,actionable_recourse,credit
18,18,0.0,0.0,linear,actionable_recourse,credit
19,19,0.0,0.0,linear,actionable_recourse,credit
20,20,0.0,0.0,linear,actionable_recourse,credit
21,21,0.0,0.0,linear,actionable_recourse,credit
22,22,0.0,0.0,linear,actionable_recourse,credit
23,23,0.0,0.0,linear,actionable_recourse,credit
24,24,0.0,0.0,linear,actionable_recourse,credit
25,25,0.0,0.0,linear,actionable_recourse,credit
26,26,0.0,0.0,linear,actionable_recourse,credit
27,27,0.0,0.0,linear,actionable_recourse,credit
28,28,0.0,0.0,linear,actionable_recourse,credit
29,29,0.0,0.0,linear,actionable_recourse,credit
30,30,0.0,0.0,linear,actionable_recourse,credit
31,31,0.0,0.0,linear,actionable_recourse,credit
32,32,0.0,0.0,linear,actionable_recourse,credit
33,33,0.0,0.0,linear,actionable_recourse,credit
34,34,0.0,0.0,linear,actionable_recourse,credit
35,35,0.0,0.0,linear,actionable_recourse,credit
36,36,0.0,0.8571428571428571,linear,actionable_recourse,credit
37,37,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
38,38,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
39,39,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
40,40,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
41,41,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
42,42,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
43,43,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
44,44,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
45,45,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
46,46,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
47,47,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
48,48,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
49,49,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
50,50,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
51,51,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
52,52,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
53,53,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
54,54,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
55,55,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
56,56,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
57,57,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
58,58,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
59,59,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
60,60,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
61,61,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
62,62,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
63,63,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
64,64,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
65,65,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
66,66,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
67,67,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
68,68,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
69,69,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
70,70,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
71,71,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
72,72,0.8571428571428571,0.8571428571428571,linear,actionable_recourse,credit
0,0,0.0,0.0,linear,cchvae,credit
1,1,0.0,0.0,linear,cchvae,credit
2,2,0.0,0.0,linear,cchvae,credit
3,3,0.0,0.0,linear,cchvae,credit
4,4,0.0,0.0,linear,cchvae,credit
5,5,0.0,0.0,linear,cchvae,credit
6,6,0.0,0.0,linear,cchvae,credit
7,7,0.0,0.0,linear,cchvae,credit
8,8,0.0,0.0,linear,cchvae,credit
9,9,0.0,0.0,linear,cchvae,credit
10,10,0.0,0.0,linear,cchvae,credit
11,11,0.0,0.0,linear,cchvae,credit
12,12,0.0,0.0,linear,cchvae,credit
13,13,0.0,0.0,linear,cchvae,credit
14,14,0.0,0.0,linear,cchvae,credit
15,15,0.0,0.0,linear,cchvae,credit
16,16,0.0,0.0,linear,cchvae,credit
17,17,0.0,0.0,linear,cchvae,credit
18,18,0.0,0.0,linear,cchvae,credit
19,19,0.0,0.0,linear,cchvae,credit
20,20,0.0,0.0,linear,cchvae,credit
21,21,0.0,0.0,linear,cchvae,credit
22,22,0.0,0.0,linear,cchvae,credit
23,23,0.0,0.0,linear,cchvae,credit
24,24,0.0,0.0,linear,cchvae,credit
25,25,0.0,0.0,linear,cchvae,credit
26,26,0.0,0.0,linear,cchvae,credit
27,27,0.0,0.0,linear,cchvae,credit
28,28,0.0,0.0,linear,cchvae,credit
29,29,0.0,0.0,linear,cchvae,credit
30,30,0.0,0.0,linear,cchvae,credit
31,31,0.0,0.0,linear,cchvae,credit
32,32,0.0,0.0,linear,cchvae,credit
33,33,0.0,0.0,linear,cchvae,credit
34,34,0.0,0.0,linear,cchvae,credit
35,35,0.0,0.0,linear,cchvae,credit
36,36,0.0,0.0,linear,cchvae,credit
37,37,0.0,0.0,linear,cchvae,credit
38,38,0.0,0.0,linear,cchvae,credit
39,39,0.0,0.0,linear,cchvae,credit
40,40,0.0,0.0,linear,cchvae,credit
41,41,0.0,0.0,linear,cchvae,credit
42,42,0.0,0.0,linear,cchvae,credit
43,43,0.0,0.0,linear,cchvae,credit
44,44,0.0,0.0,linear,cchvae,credit
45,45,0.0,0.0,linear,cchvae,credit
46,46,0.0,0.0,linear,cchvae,credit
47,47,0.0,0.0,linear,cchvae,credit
48,48,0.0,0.0,linear,cchvae,credit
49,49,0.0,0.0,linear,cchvae,credit
50,50,0.8571428571428571,0.8571428571428571,linear,cchvae,credit
51,51,0.8571428571428571,0.8571428571428571,linear,cchvae,credit
52,52,0.8571428571428571,0.8571428571428571,linear,cchvae,credit
53,53,0.8571428571428571,0.8571428571428571,linear,cchvae,credit
54,54,0.8571428571428571,0.8571428571428571,linear,cchvae,credit
